1;Q;One;Это вопрос № 1
1;A;1;Правильный ответ
1;A;0;Вариант 2
1;A;0;Вариант 3
2;Q;One;Это вопрос номер 2 (сюрприз)
2;A;1;Правильный ответ
2;A;0;Option 2
2;A;1;Тоже правильный ответ
2;A;1;И ещё 1 правильный ответ
3;Q;Many;Это вопрос номер три
3;A;1;Правильный ответ
3;A;1;Правильный ответ
4;Q;One;Это вопрос номер № 4
4;A;0;Option 1
4;A;0;Option 3
4;A;1;Правильный ответ 999
5;Q;One;Вопрос под номером 6
5;A;0;Option 0
5;A;0;Option 18
5;A;0;Option Two Billion
5;A;1;Правильный ответ
6;Q;One;Реально шестой вопрос
6;A;0;Option 0
6;A;0;Option 18
6;A;0;Option Two Billion
6;A;1;Правильный ответ 76
7;Q;Many;Седьмой вопрос
7;A;1;Option 0
7;A;0;Option 18
7;A;0;Option Two Billion
7;A;1;76 будет правильным ответом